Maze,BFS,,,,DFS,,,,UCS,,,,A*,,,,Bi-Directional with Manhattan Heuristic,,,,Bi-directional with Euclidean Heuristic,,,,Bi-directional 0,,,
,Cost,Nodes Expanded,Win?,Score,Cost,Nodes Expanded,Win?,Score,Cost,Nodes Expanded,Win?,Score,Cost,Nodes Expanded,Win?,Score,Cost,Nodes Expanded,Win?,Score,Cost,Nodes Expanded,Win?,Score,Cost,Nodes Expanded,Win?,Score
Contours,13,170,Yes,497,85,85,Yes,425,13,170,Yes,497,13,49,Yes,497,13,41,Yes,497,13,46,Yes,497,13,90,Yes,497
Open,54,682,Yes,456,298,576,Yes,212,54,682,Yes,456,54,535,Yes,456,54,441,Yes,456,54,443,Yes,456,54,443,Yes,456
Small,19,92,Yes,491,49,59,Yes,461,19,92,Yes,491,19,53,Yes,491,19,37,Yes,491,19,41,Yes,491,19,50,Yes,491
Medium,68,269,Yes,442,130,146,Yes,380,68,269,Yes,442,68,221,Yes,442,68,183,Yes,442,68,183,Yes,442,68,184,Yes,442
BigMaze1,78,393,Yes,432,78,565,Yes,432,78,393,Yes,432,78,242,Yes,432,78,205,Yes,432,78,222,Yes,432,78,225,Yes,432
BigMaze2,74,376,Yes,436,214,402,Yes,296,74,376,Yes,436,74,244,Yes,436,74,197,Yes,436,74,214,Yes,436,74,216,Yes,436
BigMaze3,158,622,Yes,352,186,459,Yes,324,158,622,Yes,352,158,550,Yes,352,158,514,Yes,352,158,514,Yes,352,158,514,Yes,352
BigMaze4,68,663,Yes,442,110,465,Yes,400,68,663,Yes,442,68,276,Yes,442,68,234,Yes,442,68,232,Yes,442,68,239,Yes,442
BigMaze5,77,500,Yes,433,77,422,Yes,433,77,500,Yes,433,77,342,Yes,433,77,302,Yes,433,77,344,Yes,433,77,339,Yes,433
BigMaze6,70,605,Yes,440,74,219,Yes,436,70,605,Yes,440,70,316,Yes,440,70,236,Yes,440,70,258,Yes,440,70,271,Yes,440
BigMaze7,76,466,Yes,434,76,125,Yes,434,76,466,Yes,434,76,315,Yes,434,76,271,Yes,434,76,277,Yes,434,76,277,Yes,434
BigMaze8,57,354,Yes,453,209,440,Yes,301,57,350,Yes,453,57,195,Yes,453,57,171,Yes,453,57,175,Yes,453,57,176,Yes,453
BigMaze9,70,660,Yes,440,82,430,Yes,428,70,660,Yes,440,70,385,Yes,440,70,241,Yes,440,70,309,Yes,440,70,322,Yes,440
BigMaze10,70,449,Yes,440,70,98,Yes,440,70,449,Yes,440,70,202,Yes,440,70,196,Yes,440,70,224,Yes,440,70,233,Yes,440
BigMaze11,113,623,Yes,397,125,292,Yes,385,113,629,Yes,397,113,497,Yes,397,113,535,Yes,397,113,535,Yes,397,113,537,Yes,397
BigMaze12,210,614,Yes,300,210,384,Yes,300,210,614,Yes,300,210,543,Yes,300,210,591,Yes,300,210,591,Yes,300,210,591,Yes,300
BigMaze13,134,622,Yes,376,178,336,Yes,332,134,622,Yes,376,134,451,Yes,376,134,505,Yes,376,134,506,Yes,376,134,506,Yes,376
BigMaze14,106,624,Yes,404,166,292,Yes,344,106,624,Yes,404,106,330,Yes,404,106,385,Yes,404,106,397,Yes,404,106,400,Yes,404
BigMaze15,210,620,Yes,300,210,390,Yes,300,210,620,Yes,300,210,549,Yes,300,210,605,Yes,300,210,605,Yes,300,210,605,Yes,300
