Maze,Algorithm,Total_Cost,Nodes_Expanded,Total_Score,Result
contoursMaze,bfs,13,170,497,Win
contoursMaze,dfs,85,85,425,Win
contoursMaze,ucs,13,170,497,Win
contoursMaze,astar,13,49,497,Win
contoursMaze,bds_mmMan,13,47,497,Win
contoursMaze,bds_mmEuc,13,46,497,Win
contoursMaze,bds_mm0,13,90,497,Win
openMaze,bfs,54,682,456,Win
openMaze,dfs,298,576,212,Win
openMaze,ucs,54,682,456,Win
openMaze,astar,54,535,456,Win
openMaze,bds_mmMan,54,441,456,Win
openMaze,bds_mmEuc,54,443,456,Win
openMaze,bds_mm0,54,443,456,Win
smallMaze,bfs,19,92,491,Win
smallMaze,dfs,49,59,461,Win
smallMaze,ucs,19,92,491,Win
smallMaze,astar,19,53,491,Win
smallMaze,bds_mmMan,19,37,491,Win
smallMaze,bds_mmEuc,19,41,491,Win
smallMaze,bds_mm0,19,50,491,Win
mediumMaze,bfs,68,269,442,Win
mediumMaze,dfs,130,146,380,Win
mediumMaze,ucs,68,269,442,Win
mediumMaze,astar,68,221,442,Win
mediumMaze,bds_mmMan,68,183,442,Win
mediumMaze,bds_mmEuc,68,183,442,Win
mediumMaze,bds_mm0,68,184,442,Win
bigMaze1,bfs,78,393,432,Win
bigMaze1,dfs,78,565,432,Win
bigMaze1,ucs,78,393,432,Win
bigMaze1,astar,78,242,432,Win
bigMaze1,bds_mmMan,78,197,432,Win
bigMaze1,bds_mmEuc,78,222,432,Win
bigMaze1,bds_mm0,78,225,432,Win
bigMaze2,bfs,74,376,436,Win
bigMaze2,dfs,214,402,296,Win
bigMaze2,ucs,74,376,436,Win
bigMaze2,astar,74,244,436,Win
bigMaze2,bds_mmMan,74,197,436,Win
bigMaze2,bds_mmEuc,74,214,436,Win
bigMaze2,bds_mm0,74,216,436,Win
bigMaze3,bfs,158,622,352,Win
bigMaze3,dfs,186,459,324,Win
bigMaze3,ucs,158,622,352,Win
bigMaze3,astar,158,550,352,Win
bigMaze3,bds_mmMan,158,514,352,Win
bigMaze3,bds_mmEuc,158,514,352,Win
bigMaze3,bds_mm0,158,514,352,Win
bigMaze4,bfs,68,663,442,Win
bigMaze4,dfs,110,465,400,Win
bigMaze4,ucs,68,663,442,Win
bigMaze4,astar,68,276,442,Win
bigMaze4,bds_mmMan,68,234,442,Win
bigMaze4,bds_mmEuc,68,232,442,Win
bigMaze4,bds_mm0,68,239,442,Win
bigMaze5,bfs,77,500,433,Win
bigMaze5,dfs,77,422,433,Win
